,TIC_ID,SE_Hits,IE_Hits,Mutual_Hits
0,121966220,376,171,0
1,142090065,290,282,0
2,158002130,369,361,21
3,191146556,378,266,0
4,249862365,330,197,0
5,250724252,265,262,0
6,266500992,276,164,0
7,27677846,294,151,0
8,288132261,328,310,0
9,316254876,316,170,0
10,317597583,177,182,0
11,367858035,232,223,0
12,372757221,286,392,0
13,395393265,289,198,0
14,396562848,361,198,0
15,407394748,257,181,0
16,427730490,225,151,0
17,431899140,330,178,0
18,435680451,340,728,0
19,445805961,256,211,0
20,470315428,356,224,0
21,51024887,265,181,0
22,81831095,277,196,0
