TIC_ID,Teff,e_Teff,ra,dec,d,e_d
432549364,6596.04,156.59,0.362153885,39.38382837,268.43,3.023
354594208,6033.55,105.16,1.887827481,32.43777094,163.083,1.187
346929661,6178,254.926,0.97758264,59.33477745,203.562,1.209
347013211,6125.85,120.726,1.119139199,54.93446295,366.962,4.7995
194203348,6222.99,106.259,1.196959298,41.59400592,210.101,5.846
396356111,6748.74,120.985,2.60037904,58.48948146,92.8913,0.3086
461387302,6406,179.77,3.021591226,66.65055995,234.455,1.54
403256331,10097,249.499,4.249330146,58.67926522,867.296,21.8335
440100539,5861.63,141.585,4.358047983,42.2823233,96.5232,0.4433
327579226,6659,172.501,4.736127117,57.20065318,259.563,2.074
403308915,8398,145.449,5.198919935,55.54284764,385.274,6.367
407394748,7205,,5.420288407,77.88002754,280.381,
407059875,5050,146.85,5.470038442,66.16817002,108.076,0.3155
202375913,7664,134.983,5.965463947,51.46830111,482.203,10.767
127425841,7090.77,100.439,6.030682532,40.16561845,355.69,5.5275
354600221,6329,158.686,6.074650354,57.88176878,241.204,1.829
444415148,9542,123,6.308946951,62.54312975,670.885,14.034
418987806,6919,178.363,6.519550092,63.31941317,479.659,6.5305
190998418,5583,127.666,7.053932152,42.06137313,367.658,7.922
320506985,5751,167.693,8.163433005,54.65460042,285.876,2.987
191146556,6271,126.062,8.304434468,46.34033443,282.833,3.011
284050395,5421,130.6,8.988700945,65.02617829,104.358,0.339
240681314,6695,131.35,9.458791694,51.28876641,370.284,7.7775
191284318,6140,125.699,9.573160199,42.46311581,226.637,4.388
284441182,3624,157,10.08870877,61.21362621,51.9503,0.0745
420288086,9324,379.968,10.96276461,61.835626,694.491,12.687
312259170,10692,735.402,11.04277136,59.46450162,969.594,30.5625
445144327,4628,122,11.23414345,58.71207846,800.464,19.244
445137888,10310,617.117,11.30240078,56.07006535,795.905,74.344
445254275,7125,162.38,12.21612436,59.38672587,910.693,28.9095
312469860,6941,,12.88130299,55.71102921,257.461,
283474780,4939,122,13.0174011,36.39293544,247.112,2.886
285543785,,,13.222022,60.891685,392.878,
285542903,10125,419.493,13.27002458,60.61811639,914.062,34.852
312678993,,,13.59738218,54.52803084,,
306955329,5103,131.442,14.1135876,48.63757464,121.84,1.317
52041724,7455,409.925,14.11949131,65.67898979,278.829,7.176
307111282,5791,150.152,14.63953817,50.93620615,186.665,1.237
53875855,5899,139.67,14.65275647,34.14825787,204.881,1.587
312862941,3810,157,15.32175969,55.69794753,126.283,0.4825
352413427,5958,121.256,15.59819748,37.18548299,67.6203,0.20465
